Date,"Betelgeuse"
2018-12-18,1643
2018-12-19,1537
2018-12-20,1358
2018-12-21,1290
2018-12-22,1252
2018-12-23,1477
2018-12-24,1542
2018-12-25,1414
2018-12-26,1370
2018-12-27,1307
2018-12-28,1318
2018-12-29,1387
2018-12-30,1664
2018-12-31,1555
2019-01-01,1541
2019-01-02,1677
2019-01-03,1559
2019-01-04,1642
2019-01-05,1552
2019-01-06,1668
2019-01-07,1802
2019-01-08,1743
2019-01-09,1602
2019-01-10,1766
2019-01-11,1727
2019-01-12,1941
2019-01-13,2132
2019-01-14,2035
2019-01-15,1858
2019-01-16,2153
2019-01-17,1905
2019-01-18,1493
2019-01-19,1527
2019-01-20,1922
2019-01-21,2256
2019-01-22,2408
2019-01-23,1866
2019-01-24,1710
2019-01-25,1663
2019-01-26,1668
2019-01-27,1765
2019-01-28,2136
2019-01-29,2197
2019-01-30,1758
2019-01-31,1893
2019-02-01,1606
2019-02-02,1534
2019-02-03,1629
2019-02-04,1624
2019-02-05,1835
2019-02-06,8783
2019-02-07,3748
2019-02-08,1878
2019-02-09,1939
2019-02-10,1825
2019-02-11,1780
2019-02-12,1736
2019-02-13,1622
2019-02-14,1780
2019-02-15,1663
2019-02-16,1491
2019-02-17,1891
2019-02-18,1742
2019-02-19,1631
2019-02-20,1525
2019-02-21,1580
2019-02-22,1441
2019-02-23,1490
2019-02-24,1785
2019-02-25,1818
2019-02-26,2147
2019-02-27,2898
2019-02-28,1684
2019-03-01,1608
2019-03-02,1327
2019-03-03,1338
2019-03-04,1806
2019-03-05,1560
2019-03-06,1588
2019-03-07,1639
2019-03-08,1453
2019-03-09,1350
2019-03-10,1381
2019-03-11,1431
2019-03-12,1586
2019-03-13,1426
2019-03-14,1291
2019-03-15,1616
2019-03-16,1226
2019-03-17,1376
2019-03-18,1496
2019-03-19,1480
2019-03-20,1399
2019-03-21,1422
2019-03-22,1290
2019-03-23,1518
2019-03-24,1524
2019-03-25,1574
2019-03-26,2080
2019-03-27,1802
2019-03-28,1600
2019-03-29,1549
2019-03-30,1462
2019-03-31,1610
2019-04-01,2093
2019-04-02,1640
2019-04-03,1632
2019-04-04,1501
2019-04-05,1394
2019-04-06,1673
2019-04-07,1562
2019-04-08,1584
2019-04-09,1682
2019-04-10,2608
2019-04-11,2384
2019-04-12,1813
2019-04-13,1573
2019-04-14,1832
2019-04-15,1676
2019-04-16,1674
2019-04-17,1624
2019-04-18,1571
2019-04-19,1486
2019-04-20,1292
2019-04-21,1476
2019-04-22,1426
2019-04-23,1450
2019-04-24,1335
2019-04-25,1365
2019-04-26,1364
2019-04-27,1226
2019-04-28,1190
2019-04-29,1235
2019-04-30,1525
2019-05-01,1274
2019-05-02,1147
2019-05-03,1181
2019-05-04,1103
2019-05-05,1125
2019-05-06,1219
2019-05-07,1349
2019-05-08,1308
2019-05-09,1240
2019-05-10,1051
2019-05-11,969
2019-05-12,1068
2019-05-13,1173
2019-05-14,1095
2019-05-15,1119
2019-05-16,1113
2019-05-17,1137
2019-05-18,892
2019-05-19,1102
2019-05-20,982
2019-05-21,1259
2019-05-22,1170
2019-05-23,1028
2019-05-24,962
2019-05-25,915
2019-05-26,912
2019-05-27,964
2019-05-28,1575
2019-05-29,1274
2019-05-30,1118
2019-05-31,1188
2019-06-01,1007
2019-06-02,1048
2019-06-03,1010
2019-06-04,1965
2019-06-05,1028
2019-06-06,921
2019-06-07,1018
2019-06-08,910
2019-06-09,1429
2019-06-10,1805
2019-06-11,1274
2019-06-12,1198
2019-06-13,1251
2019-06-14,1171
2019-06-15,987
2019-06-16,1049
2019-06-17,1213
2019-06-18,1177
2019-06-19,1244
2019-06-20,1009
2019-06-21,1008
2019-06-22,937
2019-06-23,1164
2019-06-24,1023
2019-06-25,1075
2019-06-26,985
2019-06-27,932
2019-06-28,901
2019-06-29,1039
2019-06-30,1029
2019-07-01,987
2019-07-02,1104
2019-07-03,1039
2019-07-04,1014
2019-07-05,1002
2019-07-06,949
2019-07-07,946
2019-07-08,1004
2019-07-09,935
2019-07-10,917
2019-07-11,1017
2019-07-12,966
2019-07-13,929
2019-07-14,978
2019-07-15,1005
2019-07-16,964
2019-07-17,979
2019-07-18,989
2019-07-19,994
2019-07-20,1078
2019-07-21,1100
2019-07-22,1075
2019-07-23,1168
2019-07-24,1131
2019-07-25,1167
2019-07-26,1224
2019-07-27,1006
2019-07-28,1090
2019-07-29,1160
2019-07-30,1085
2019-07-31,988
2019-08-01,968
2019-08-02,950
2019-08-03,934
2019-08-04,1047
2019-08-05,983
2019-08-06,1016
2019-08-07,917
2019-08-08,1125
2019-08-09,1084
2019-08-10,1006
2019-08-11,1016
2019-08-12,1146
2019-08-13,981
2019-08-14,1001
2019-08-15,978
2019-08-16,984
2019-08-17,910
2019-08-18,1543
2019-08-19,2377
2019-08-20,1117
2019-08-21,1094
2019-08-22,1015
2019-08-23,964
2019-08-24,1039
2019-08-25,1088
2019-08-26,1226
2019-08-27,1050
2019-08-28,1055
2019-08-29,1193
2019-08-30,1120
2019-08-31,1040
2019-09-01,1068
2019-09-02,1095
2019-09-03,1045
2019-09-04,1002
2019-09-05,1162
2019-09-06,1062
2019-09-07,1175
2019-09-08,1476
2019-09-09,1163
2019-09-10,1217
2019-09-11,1182
2019-09-12,1185
2019-09-13,1221
2019-09-14,1150
2019-09-15,1228
2019-09-16,1361
2019-09-17,1323
2019-09-18,1289
2019-09-19,1402
2019-09-20,1247
2019-09-21,1211
2019-09-22,1278
2019-09-23,1443
